"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify that once a user is logged in, opening a new tab and navigating
        to the app retains the logged-in state without requiring re-authentication.
        ","417","Session persists across multiple tabs","tests","Wed Apr 08 03:10:27 UTC 2026","passed","Wed Apr 08 03:10:28 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","318","Standard user logs in successfully","tests","Wed Apr 08 03:10:20 UTC 2026","passed","Wed Apr 08 03:10:20 UTC 2026","TestLogin","test_auth","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","658","Session cookie is cleared upon logout","tests","Wed Apr 08 03:10:32 UTC 2026","passed","Wed Apr 08 03:10:32 UTC 2026","TestLogout","test_auth","",""
"
        Simulate a session timeout by clearing browser cookies and verify the system
        denies access to protected pages.
        ","120","Verify redirection to login page after session expiration","tests","Wed Apr 08 03:10:29 UTC 2026","passed","Wed Apr 08 03:10:29 UTC 2026","TestLogin","test_auth","",""
"Verify that clicking a product name or image opens its detail page.","100","Clicking an item image navigates to the Product Detail Page","tests","Wed Apr 08 03:10:45 UTC 2026","passed","Wed Apr 08 03:10:45 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that the inventory items can be correctly sorted by name.","78","Verify items can be sorted by name (A to Z)","tests","Wed Apr 08 03:10:42 UTC 2026","passed","Wed Apr 08 03:10:42 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","312","Case Sensitivity Test: Swapped Password Case","tests","Wed Apr 08 03:10:26 UTC 2026","passed","Wed Apr 08 03:10:26 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","290","Negative Test: Empty Account","tests","Wed Apr 08 03:10:23 UTC 2026","passed","Wed Apr 08 03:10:23 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","313","Negative Test: Locked Out User","tests","Wed Apr 08 03:10:21 UTC 2026","passed","Wed Apr 08 03:10:21 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","307","Negative Test: Wrong Password","tests","Wed Apr 08 03:10:22 UTC 2026","passed","Wed Apr 08 03:10:22 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a user cannot navigate back to a protected page using the browser's
        back button after logging out.
        ","722","Browser back button does not restore active session","tests","Wed Apr 08 03:10:33 UTC 2026","passed","Wed Apr 08 03:10:34 UTC 2026","TestLogout","test_auth","",""
"Verify that clicking a product name or image opens its detail page.","96","Clicking an item name navigates to the Product Detail Page","tests","Wed Apr 08 03:10:44 UTC 2026","passed","Wed Apr 08 03:10:44 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","309","Negative Test: Non-existent Account","tests","Wed Apr 08 03:10:24 UTC 2026","passed","Wed Apr 08 03:10:24 UTC 2026","TestLogin","test_auth","",""
"Verify that the inventory items can be correctly sorted by name.","106","Verify items can be sorted by name (Z to A)","tests","Wed Apr 08 03:10:43 UTC 2026","passed","Wed Apr 08 03:10:43 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","879","Multi-tab session sync upon logout","tests","Wed Apr 08 03:10:35 UTC 2026","passed","Wed Apr 08 03:10:36 UTC 2026","TestLogout","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","313","Case Sensitivity Test: Swapped Username Case","tests","Wed Apr 08 03:10:25 UTC 2026","passed","Wed Apr 08 03:10:25 UTC 2026","TestLogin","test_auth","",""
"Verify that adding a single item correctly updates the header cart badge to 1.","94","Adding an item updates the cart badge count","tests","Wed Apr 08 03:10:37 UTC 2026","passed","Wed Apr 08 03:10:37 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that removing an item correctly decrements/removes the header cart badge.","1175","Removing an item updates the cart badge count","tests","Wed Apr 08 03:10:38 UTC 2026","passed","Wed Apr 08 03:10:39 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that no broken images are displayed on the inventory page.","72","Verify all product images load successfully without broken links","tests","Wed Apr 08 03:10:48 UTC 2026","passed","Wed Apr 08 03:10:48 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Dynamically fetch all items on the page and verify their navigation.","1065","Dynamic Exhaustive Test: Verify all visible items can navigate to PDP","tests","Wed Apr 08 03:10:46 UTC 2026","passed","Wed Apr 08 03:10:47 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","303","Prevent direct access to inventory without authentication","tests","Wed Apr 08 03:10:26 UTC 2026","passed","Wed Apr 08 03:10:27 UTC 2026","TestLogin","test_auth","",""
"Verify that the inventory items can be correctly sorted by price.","105","Verify items can be sorted by price (Low to High)","tests","Wed Apr 08 03:10:40 UTC 2026","passed","Wed Apr 08 03:10:40 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","667","User logs out successfully from the main page","tests","Wed Apr 08 03:10:30 UTC 2026","passed","Wed Apr 08 03:10:31 UTC 2026","TestLogout","test_auth","",""
"Verify that the inventory items can be correctly sorted by price.","107","Verify items can be sorted by price (High to Low)","tests","Wed Apr 08 03:10:41 UTC 2026","passed","Wed Apr 08 03:10:41 UTC 2026","TestInventoryInteractions","test_inventory","",""
